id,sentence_index,source_text,translated_text
23660,2,里面服务员一直很热情，会叫我们多点些，可能每次来，给服务员感觉都是我们吃的太少了，但是感觉这里一直是海鲜食材新鲜，但是熟物的味道，我感觉一般，没有那么惊艳。,"he waiter inside has been very enthusiastic, will ask us to order more, maybe every time I come, to the waiter feels that we eat too little, but I feel that the seafood here has always been fresh, but the taste of cooked food, I feel average, not so amazing. "
23660,3,给予四星，是因为老公会拉肚子，上次我弟弟也拉肚子，貌似女生都好好的，男生就难说了！,"I gave four stars because my husband had diarrhea, and my brother also had diarrhea last time, and it seems that girls are fine, but boys are hard to say!"
379,0,8.8秒杀的多嘴肉蟹煲，第一天开业就去了，大众点评很给力，排了两个半小时的队才轮到，他家很年轻化，服务员不时出来跳舞啥的，挺有意思，第一天分享还有小礼物，点赞还送饮料，可惜没赶上，点了8元一份的米饭，米饭是砂锅装的，非常好吃，泡多嘴肉蟹煲的汤吃更棒，还点了一个馍，沾着辣肉酱吃，得趁热吃，不然馍就硬不好吃了，肉蟹煲里面很丰富，,"8.8 seconds to kill the multi-mouth meat and crab pot, the first day of opening on the go, the public reviews are very powerful, queued for two and a half hours before it was the turn, his family is very young, the waiter comes out from time to time to dance or something, very interesting, the first day to share and a small gift, like and send a drink, but unfortunately did not catch up, ordered 8 yuan a piece of rice, the rice is a casserole, very delicious, the soup of the multi-mouth meat crab pot is better, and ordered a bun, dipped in spicy meat sauce to eat, you have to eat it while it is hot, otherwise the bun will be hard and not delicious, the meat and crab pot is very rich, "
379,1,满满一大锅，里面有螃蟹，大虾，年糕，鸡爪，螃蟹肉很多，真的是肉蟹，鸡爪很好吃，做的软糯的，非常不错，里面还有花生腐竹，味道都不错，服务也很到位，开业第一天最后吃完的，服务员还送了西瓜，很贴心，还会再来的，推荐哦，大家都快点来吃吧，非常划算的,"Full of a big pot, there are crabs, prawns, rice cakes, chicken feet, a lot of crab meat, it is really meat crabs, chicken feet are delicious, soft and glutinous, very good, there are peanuts and bean curd in it, the taste is good, the service is also in place, the first day of the opening of the last to eat, the waiter also sent watermelon, very intimate, will come again, recommended Oh, everyone hurry up to eat, very cost-effective"
13811,0,喜欢KOI好多年了，但是看着它的价格在一路飙涨，真心是有点越来越爱不起来了呢。,"I've loved KOI for many years, but seeing its price soaring, I'm really getting a little bit out of it. B"
13811,1,不过还好有大众点评的闪惠，每周四半价，太便宜啦~棒棒的~~\\n还是一如既往点了最爱的蒟蒻，其实也不是真的蒟蒻啦，就是椰果，但是我就是好喜欢呢。,"ut fortunately, there are flash discounts from public reviews, half price every Thursday, it's too cheap~ Awesome~~\\n I still ordered my favorite konjac as always, in fact, it's not really konjac, it's coconut fruit, but I just like it. A"
13811,2,而且一定是要微糖，常温，这样才是最好的味道。,"nd it must be slightly sugary, room temperature, so that it tastes best. L"
13811,3,大杯22，中杯17.\\n朋友爱吃仙草，所以给他点了仙草蜜，满满一大杯的仙草，也是不错吃的呢。,"arge cup 22, medium cup 17.\\nFriends love to eat fairy grass, so I ordered him fairy grass honey, a large cup full of fairy grass, which is also delicious. M"
13811,4,中杯18.\\n蔡塘广场的这家不是很好找。,edium Cup 18.\\n This one in Caitang Square is not easy to find. I
13811,5,在一楼的广场中央，幸得小伙伴指点，在钓鱼池的旁边。,"n the middle of the square on the first floor, fortunately with the guidance of my friends, next to the fishing pond. T"
13811,6,也有几张桌子可以坐人。,here are also a few tables where people can sit. 
13811,7,还是不错的。,It's still good.
